Plano de Contas,,Altere as categorias das receitas aqui para as categorias que se encaixem com as da sua empresa.
,,O objetivo é estabelecer um padrão de registro das operações da empresa a fim de identificá-las nos relatórios
3. RECEITA / FATURAMENTO,,
3.1 Receita de Cursos,,Dicas:
3.1.1 Parcelas,,1. Não crie categorias com nomes de empresas ou clientes;
3.1.2 Passaporte/Taxa de Matrícula,,"2. Não crie muitas categorias, a ideia é termos uma visão de receitas por grupos interessantes;"
3.1.3 Parcelas de aulas individuais,,
3.1.4 Parcelas de cursos complementares,,
3.1.5 Aulas experimentais,,
3.1.6 Aulas On-line,,
,,
3.2 Lojinha,,
3.2.1 Vestuário,,
3.2.2 Acessórios e Intrumentos,,
3.2.3 Livros e apostilas,,
3.2.4 Souvenirs,,
,,
3.4 LA Produções ,,
3.4.1 Locação de espaços e salas,,
3.4.2 Produções Audiovisuais,,
3.4.3 Produção Musical e gravações,,
3.4.4 Aluguel de equipamentos,,
3.4.5 Patrocínio,,
3.4.6 Venda de Ingressos,,
,,
3.5 Outras Receitas de Vendas,,
3.5.1 Mentorias,,
3.5.2 Treinamentos,,
3.5.3 Passeios,,
3.5.4 Excursões,,
,,
7. NÃO OPERACIONAIS,,
7.1 Entradas não operacionais,,
7.1.1 Empréstimos Obtidos,,
7.1.2 Capitalização dos sócios,,
7.1.3 Venda de equipamentos usados,,
7.1.4 Outras entradas não operacionais,,
7.1.5 Receitas com juros e multas,,
7.1.6 Rateio entre unidades,,
7.1.7 Reembolso ou Estorno,,
,,
4. DESPESAS/CUSTOS VARIÁVEIS,,
4.1 Custos Tributários e Financeiros,,
4.1.1 DAS/ SIMPLES Nacional,,
4.1.2 Taxa de Cobrança de Boletos,,
4.1.3 Taxas de operadora de cartão,,
4.1.4 Taxas de Antecipação,,
4.1.5 Outros Custos Tributários e Financeiros,,
4.1.6 Taxas Bancárias,,
,,
4.2 Custos com Produtos e Serviços,,
4.2.1 Material Pedagógico,,
4.2.2 Outros Custos com Produtos e Serviços,,
4.2.3 Vestuário e acessórios (colaboradores),,
,,
4.3 Custos com Vendas de matrículas,,
4.3.1 Comissões ,,
4.3.2 Cashback de Indicações,,
4.3.3 Outros Custos com Comissões,,
,,
4.4 LA Produções,,
4.4.1 Alimentação e Lanches,,
4.4.2 Locação de Equipamentos,,
4.4.3 Auxilio Transporte e Combustível,,
4.4.4 Contratação de pessoal tercerizado,,
